Year,Month,Rate
2010,3,0.7142857142857143
2010,4,0.3333333333333333
2010,5,0.6363636363636364
2010,6,0.5454545454545454
2010,7,0.4
2010,8,0.5833333333333334
2010,9,0.8333333333333334
2010,10,0.0
2011,3,0.6
2011,4,0.3076923076923077
2011,5,0.5
2011,6,0.3333333333333333
2011,7,0.5555555555555556
2011,8,0.8
2011,9,0.46153846153846156
2011,10,0.5
2012,3,0.25
2012,4,0.6
2012,5,0.5333333333333333
2012,6,0.5
2012,7,0.2727272727272727
2012,8,0.8571428571428571
2012,9,0.09090909090909091
2012,10,0.5555555555555556
2013,3,0.25
2013,4,0.4166666666666667
2013,5,0.7272727272727273
2013,6,0.5
2013,7,0.4444444444444444
2013,8,0.4
2013,9,0.5833333333333334
2014,3,0.5
2014,4,0.6
2014,5,0.3333333333333333
2014,6,0.6
2014,7,0.3333333333333333
2014,8,0.2222222222222222
2014,9,0.5
2014,10,0.0
2015,3,0.8
2015,4,0.18181818181818182
2015,5,0.5
2015,6,0.2727272727272727
2015,7,0.5833333333333334
2015,8,0.23076923076923078
2015,9,0.7
2015,10,0.0
2016,3,0.0
2016,4,0.45454545454545453
2016,5,0.4
2016,6,0.4666666666666667
2016,7,0.2727272727272727
2016,8,0.0
2016,9,0.45454545454545453
2016,10,0.0
2017,3,0.0
2017,4,0.45454545454545453
2017,5,0.46153846153846156
2017,6,0.38461538461538464
2017,7,0.5833333333333334
2017,8,0.5333333333333333
2017,9,0.5714285714285714
2017,10,0.5
2018,3,0.14285714285714285
2018,4,0.5
2018,5,0.46153846153846156
2018,6,0.5
2018,7,0.4
2018,8,0.6
2018,9,0.5
2018,10,0.7142857142857143
