Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,원정팀결과,홈팀결과,비고
2010-03-06 13:00,대전,롯데,12,1,한화,승,패,시범경기
2010-03-07 13:00,대전,롯데,4,1,한화,승,패,시범경기
2010-03-09 13:00,대구,롯데,5,3,삼성,승,패,시범경기
2010-03-12 13:00,문학,롯데,2,1,SK,승,패,시범경기
2010-03-13 13:00,무등,롯데,8,6,기아,승,패,시범경기
2010-03-14 13:00,무등,롯데,1,2,기아,패,승,시범경기
2010-03-30 18:30,대전,롯데,3,13,한화,패,승,정규시즌
2010-04-02 18:30,무등,롯데,2,3,기아,패,승,정규시즌
2010-04-03 13:50,무등,롯데,2,4,기아,패,승,정규시즌
2010-04-04 17:00,무등,롯데,3,2,기아,승,패,정규시즌
2010-04-13 18:30,목동,롯데,9,0,넥센,승,패,정규시즌
2010-04-14 18:30,목동,롯데,5,6,넥센,패,승,정규시즌
2010-04-15 18:30,목동,롯데,6,0,넥센,승,패,정규시즌
2010-04-16 18:30,잠실,롯데,4,6,두산,패,승,정규시즌
2010-04-17 17:00,잠실,롯데,3,4,두산,패,승,정규시즌
2010-04-18 17:00,잠실,롯데,9,5,두산,승,패,정규시즌
2010-04-23 18:30,문학,롯데,7,9,SK,패,승,정규시즌
2010-04-24 17:00,문학,롯데,1,2,SK,패,승,정규시즌
2010-04-25 17:00,문학,롯데,4,14,SK,패,승,정규시즌
2010-05-04 18:30,대구,롯데,9,3,삼성,승,패,정규시즌
2010-05-05 14:00,대구,롯데,2,13,삼성,패,승,정규시즌
2010-05-06 18:30,대구,롯데,6,2,삼성,승,패,정규시즌
2010-05-14 18:30,잠실,롯데,4,3,LG,승,패,정규시즌
2010-05-15 17:00,잠실,롯데,13,4,LG,승,패,정규시즌
2010-05-16 17:00,잠실,롯데,2,15,LG,패,승,정규시즌
2010-05-19 18:30,군산,롯데,3,2,기아,승,패,정규시즌
2010-05-20 18:30,군산,롯데,9,4,기아,승,패,정규시즌
2010-05-28 18:30,문학,롯데,5,4,SK,승,패,정규시즌
2010-05-29 17:00,문학,롯데,2,4,SK,패,승,정규시즌
2010-05-30 17:00,문학,롯데,4,11,SK,패,승,정규시즌
2010-06-04 18:30,대구,롯데,5,3,삼성,승,패,정규시즌
2010-06-05 17:00,대구,롯데,10,2,삼성,승,패,정규시즌
2010-06-06 17:00,대구,롯데,10,1,삼성,승,패,정규시즌
2010-06-08 18:30,목동,롯데,2,2,넥센,무,무,정규시즌
2010-06-09 18:30,목동,롯데,13,3,넥센,승,패,정규시즌
2010-06-10 18:30,목동,롯데,10,5,넥센,승,패,정규시즌
2010-06-18 18:30,잠실,롯데,4,7,LG,패,승,정규시즌
2010-06-19 17:00,잠실,롯데,8,9,LG,패,승,정규시즌
2010-06-20 17:00,잠실,롯데,10,5,LG,승,패,정규시즌
2010-06-29 18:30,대구,롯데,1,6,삼성,패,승,정규시즌
2010-06-30 18:30,대구,롯데,3,4,삼성,패,승,정규시즌
2010-07-01 18:30,대구,롯데,6,7,삼성,패,승,정규시즌
2010-07-03 17:00,잠실,롯데,14,13,LG,승,패,정규시즌
