Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,원정팀결과,홈팀결과,비고
2010-03-16 13:00,사직,LG,3,5,롯데,패,승,시범경기
2010-03-17 13:00,사직,LG,2,11,롯데,패,승,시범경기
2010-03-18 13:00,사직,넥센,3,5,롯데,패,승,시범경기
2010-03-19 13:00,사직,넥센,0,7,롯데,패,승,시범경기
2010-03-20 13:00,사직,두산,5,3,롯데,승,패,시범경기
2010-03-21 13:00,사직,두산,6,7,롯데,패,승,시범경기
2010-03-27 14:00,사직,넥센,3,2,롯데,승,패,정규시즌
2010-03-28 14:00,사직,넥센,11,3,롯데,승,패,정규시즌
2010-04-06 18:30,사직,LG,5,7,롯데,패,승,정규시즌
2010-04-07 18:30,사직,LG,0,6,롯데,패,승,정규시즌
2010-04-08 18:30,사직,LG,10,2,롯데,승,패,정규시즌
2010-04-09 18:30,사직,한화,15,14,롯데,승,패,정규시즌
2010-04-10 17:00,사직,한화,9,2,롯데,승,패,정규시즌
2010-04-11 14:00,사직,한화,9,10,롯데,패,승,정규시즌
2010-04-20 18:30,사직,기아,10,3,롯데,승,패,정규시즌
2010-04-21 18:30,사직,기아,9,6,롯데,승,패,정규시즌
2010-04-22 18:30,사직,기아,1,4,롯데,패,승,정규시즌
2010-04-27 18:30,사직,넥센,2,10,롯데,패,승,정규시즌
2010-04-28 18:30,사직,넥센,5,6,롯데,패,승,정규시즌
2010-04-29 18:30,사직,넥센,2,5,롯데,패,승,정규시즌
2010-04-30 18:30,사직,기아,8,4,롯데,승,패,정규시즌
2010-05-01 17:00,사직,기아,15,7,롯데,승,패,정규시즌
2010-05-02 16:40,사직,기아,4,5,롯데,패,승,정규시즌
2010-05-07 18:30,사직,두산,7,13,롯데,패,승,정규시즌
2010-05-08 17:00,사직,두산,1,11,롯데,패,승,정규시즌
2010-05-09 14:00,사직,두산,11,1,롯데,승,패,정규시즌
2010-05-11 18:30,사직,SK,21,10,롯데,승,패,정규시즌
2010-05-12 18:30,사직,SK,2,1,롯데,승,패,정규시즌
2010-05-13 18:30,사직,SK,7,4,롯데,승,패,정규시즌
2010-05-21 17:00,사직,삼성,3,2,롯데,승,패,정규시즌
2010-05-25 18:30,사직,두산,7,10,롯데,패,승,정규시즌
2010-05-26 18:30,사직,두산,3,10,롯데,패,승,정규시즌
2010-05-27 18:30,사직,두산,10,6,롯데,승,패,정규시즌
2010-06-01 18:30,사직,LG,6,5,롯데,승,패,정규시즌
