Date,구장,원정팀,원정팀점수,홈팀점수,홈팀
04.01(토),잠실,롯데,10,12,두산
04.02(일),잠실,롯데,2,0,두산
04.04(화),문학,롯데,1,3,SSG
04.07(금),사직,KT,7,1,롯데
04.08(토),사직,KT,7,3,롯데
04.09(일),사직,KT,3,5,롯데
04.11(화),사직,LG,5,6,롯데
04.12(수),사직,LG,12,8,롯데
04.13(목),사직,LG,7,8,롯데
04.14(금),대구,롯데,7,9,삼성
04.15(토),대구,롯데,9,5,삼성
04.16(일),대구,롯데,1,9,삼성
04.18(화),사직,KIA,5,7,롯데
04.19(수),사직,KIA,6,0,롯데
04.20(목),사직,KIA,3,5,롯데
04.21(금),창원,롯데,3,2,NC
04.22(토),창원,롯데,10,6,NC
04.23(일),창원,롯데,5,3,NC
04.26(수),사직,한화,1,8,롯데
04.27(목),사직,한화,0,3,롯데
04.28(금),사직,키움,2,5,롯데
04.30(일),사직,키움,3,5,롯데
