Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,연도,원정팀결과,홈팀결과,Wins,Losses,누적승률
04.01(토),잠실,롯데,10,12,두산,2023,패,승,0,1,0.0
04.02(일),잠실,롯데,2,0,두산,2023,승,패,1,1,0.5
04.04(화),문학,롯데,1,3,SSG,2023,패,승,1,2,0.3333333333333333
04.07(금),사직,KT,7,1,롯데,2023,승,패,2,2,0.5
04.08(토),사직,KT,7,3,롯데,2023,승,패,3,2,0.6
04.09(일),사직,KT,3,5,롯데,2023,패,승,3,3,0.5
04.11(화),사직,LG,5,6,롯데,2023,패,승,3,4,0.42857142857142855
04.12(수),사직,LG,12,8,롯데,2023,승,패,4,4,0.5
04.13(목),사직,LG,7,8,롯데,2023,패,승,4,5,0.4444444444444444
04.14(금),대구,롯데,7,9,삼성,2023,패,승,4,6,0.4
04.15(토),대구,롯데,9,5,삼성,2023,승,패,5,6,0.45454545454545453
04.16(일),대구,롯데,1,9,삼성,2023,패,승,5,7,0.4166666666666667
04.18(화),사직,KIA,5,7,롯데,2023,패,승,5,8,0.38461538461538464
04.19(수),사직,KIA,6,0,롯데,2023,승,패,6,8,0.42857142857142855
04.20(목),사직,KIA,3,5,롯데,2023,패,승,6,9,0.4
04.21(금),창원,롯데,3,2,NC,2023,승,패,7,9,0.4375
04.22(토),창원,롯데,10,6,NC,2023,승,패,8,9,0.47058823529411764
04.23(일),창원,롯데,5,3,NC,2023,승,패,9,9,0.5
04.26(수),사직,한화,1,8,롯데,2023,패,승,9,10,0.47368421052631576
04.27(목),사직,한화,0,3,롯데,2023,패,승,9,11,0.45
04.28(금),사직,키움,2,5,롯데,2023,패,승,9,12,0.42857142857142855
04.30(일),사직,키움,3,5,롯데,2023,패,승,9,13,0.4090909090909091
05.02(화),광주,롯데,7,4,KIA,2023,승,패,10,13,0.43478260869565216
05.03(수),광주,롯데,2,10,KIA,2023,패,승,10,14,0.4166666666666667
05.09(화),사직,두산,5,2,롯데,2023,승,패,11,14,0.44
05.10(수),사직,두산,0,3,롯데,2023,패,승,11,15,0.4230769230769231
05.11(목),사직,두산,6,7,롯데,2023,패,승,11,16,0.4074074074074074
05.12(금),수원,롯데,1,2,KT,2023,패,승,11,17,0.39285714285714285
05.13(토),수원,롯데,5,0,KT,2023,승,패,12,17,0.41379310344827586
05.14(일),수원,롯데,8,3,KT,2023,승,패,13,17,0.43333333333333335
05.16(화),대전,롯데,3,1,한화,2023,승,패,14,17,0.45161290322580644
